country,theta_0,theta_1,theta_2,r2
Argentina,0.0921750807895731,0.0011666407528154485,-0.05781223115690927,0.6255440295659025
Armenia,0.020246947126257332,0.0004456694713207685,-0.014489712451438413,0.5592319141467168
Australia,0.1274087524993128,0.0007972840471365568,-0.06534014777119494,0.6509517760996477
Austria,0.16195729222551586,0.0033438021289523855,-0.11643421822293303,0.7159736854678121
Belarus,0.34490086273577,0.002478793961684806,-0.1947252825011079,0.6915497616183253
Belgium,0.15075902475499228,0.002441953676020584,-0.09543712794155484,0.707242098743877
Brazil,0.0552290472179091,0.0005785842697537355,-0.033091468698404965,0.7494783500534448
Canada,0.13611889738245178,0.0005699341767563265,-0.06644456382884534,0.5699039403399033
Chile,0.11738460885268565,0.00085918453998622,-0.06704133274359712,0.6447645851341575
Colombia,0.0643501104504105,0.00025973779125144296,-0.03265129373168664,0.5680466267459339
Costa Rica,0.08989431858935455,0.00041385576461326,-0.048154056653487765,0.5506964692540549
Croatia,0.14595432927026877,0.0033717702230287297,-0.11054032527042114,0.724402460016991
Cuba,0.1267499661190377,0.0033442027234479037,-0.0991967770350124,0.6211048566121655
Czech Republic,0.14492251091837155,0.002565510363455331,-0.10151937432780929,0.6581882671493323
Denmark,0.087852700627238,0.001866409324271156,-0.060454678099330576,0.7339679841529851
Ecuador,0.06182089193077962,0.00012055574060454053,-0.02528494430317408,0.539569120998204
Estonia,0.283177663855134,0.0025390543214315435,-0.16536831321877205,0.6480779394815168
Finland,0.24037389346523247,0.0013638733767276127,-0.12398343884795594,0.5847695360673746
France,0.15488486486309075,0.002981552994511806,-0.10896399093405049,0.6521701351929903
Georgia,0.03265045667602048,0.0005200818091152834,-0.02176012984301627,0.5608620863129973
Germany,0.0949661927205661,0.002299217729490808,-0.07038953575672786,0.7400647479388065
Greece,0.03532528569116866,0.0004558343535832261,-0.022237435611924223,0.7494746496836898
Guatemala,0.03544327900637869,0.00013883488777660503,-0.017608490752941408,0.5553601890243138
Hungary,0.22159967581118584,0.004988832662457932,-0.16791074587810692,0.7690262847690297
Ireland,0.12802565931051682,0.00017588974986169263,-0.057995128725457326,0.5107354559224953
Israel,0.06272867310286986,0.0011538987901852976,-0.042019947789099184,0.6450946235093644
Italy,0.060338540344788076,0.0012558773679066859,-0.044426801509333175,0.6818559510395624
Japan,0.11501496514622597,0.002467743253898113,-0.07083279941443607,0.8100507351338533
Kazakhstan,0.31511867011641614,0.002023342199275038,-0.16860739586445758,0.6985008883577888
Kyrgyzstan,0.14164837459321347,0.0010677887631668885,-0.07596291527610195,0.5111601421063775
Latvia,0.2814267829437006,0.0030274878447087627,-0.17344037551366515,0.7431460919511192
Lithuania,0.44049642471810146,0.0030836329522862848,-0.24517133275700972,0.6869694885584714
Mexico,0.05602779505812479,0.0003132235804150128,-0.03057902096531156,0.6892995247175202
Netherlands,0.06844990936808268,0.001031108219334301,-0.03824904513010771,0.7764875773381475
Nicaragua,0.07616094286790576,0.00015770646514412872,-0.03475794244975956,0.5945223601890628
Norway,0.1172027672863028,0.0007205913479735974,-0.05642743585396846,0.5700845511524275
Panama,0.06675946867347915,0.00040639387866181774,-0.036678000593384615,0.6243013172955293
Poland,0.18050358507595557,0.001059782197957416,-0.09930839111386401,0.6613146326598857
Portugal,0.07427679800325077,0.001849607583642106,-0.060310644939285445,0.680496402309356
Puerto Rico,0.11883040583988708,0.0011777892340039786,-0.0761646605095529,0.6216487638560722
Republic of Korea,0.1026843170381495,0.00389468036422789,-0.08607023793969157,0.5493567955538325
Romania,0.12512383025848592,0.0011608648352885425,-0.07362448180437998,0.7616116417086071
Russian Federation,0.34908090558672034,0.0028830928657422,-0.19785698829415788,0.7134687363970305
Serbia,0.11753467582565583,0.003986284482486581,-0.10544319316958485,0.769596698620401
Slovenia,0.21760608355198371,0.003916616638466476,-0.15515533773918286,0.7006430305538125
South Africa,0.008856472670266695,5.883594391426607e-05,-0.004578552065062531,0.5510272106439105
Spain,0.06283606156027852,0.0014723405736056933,-0.04805720298989607,0.6639281236581716
Sri Lanka,0.3346945816421454,0.0025217030439933287,-0.17605002170195955,0.6552893359785259
Switzerland,0.10311111756472893,0.002796865330854839,-0.07687911481130957,0.6006890948548915
Turkey,0.020742047843861744,0.00015929062145722433,-0.010688660964740079,0.6399484751016686
Ukraine,0.2608555891660756,0.0026725024034281917,-0.15772962323181772,0.7273886606777252
United Kingdom,0.07306623373688394,0.00044907053764103584,-0.036607128693948034,0.5779636589066148
United States,0.13599802814038892,0.0012585536479433955,-0.0794987239561086,0.729818776146443
Uruguay,0.1713322953075173,0.002519965464312988,-0.11631909054937967,0.7449590183754988
